,price,model,year,title_status,mileage,state,condition_1,brand_chevrolet,brand_dodge,brand_ford,brand_nissan,brand_other,color_black,color_blue,color_gray,color_other,color_red,color_silver,color_white
56,20000,17,2019,0,38355.0,27,2880.0,0,0,0,0,1,0,0,0,1,0,0,0
57,18100,32,2017,0,46766.0,6,2880.0,0,0,0,0,1,0,0,0,0,0,1,0
58,23000,81,2020,0,2473.0,28,2880.0,0,0,0,0,1,0,0,0,0,0,0,1
59,18500,3,2019,0,38586.0,34,1320.0,0,0,0,0,1,0,0,1,0,0,0,0
60,13490,32,2017,0,27842.0,3,1200.0,0,0,0,0,1,0,0,0,0,0,0,1
61,20700,17,2019,0,31156.0,27,2880.0,0,0,0,0,1,0,0,0,0,0,0,1
62,17800,32,2017,0,52435.0,6,1320.0,1,0,0,0,0,1,0,0,0,0,0,0
63,6650,32,2017,0,29942.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
64,29100,81,2019,0,25281.0,34,1320.0,0,0,0,0,1,0,0,0,0,1,0,0
65,12710,32,2017,0,32504.0,3,1200.0,0,0,0,0,1,0,0,0,0,0,1,0
66,21100,17,2019,0,28649.0,27,2880.0,0,0,0,0,1,0,0,0,0,0,1,0
67,18600,32,2017,0,35200.0,6,1320.0,1,0,0,0,0,0,0,0,0,0,0,1
68,4340,32,2017,0,25602.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,1,0
69,19300,3,2019,0,34801.0,34,1320.0,0,0,0,0,1,0,0,1,0,0,0,0
70,12780,32,2017,0,31009.0,3,1200.0,0,0,0,0,1,1,0,0,0,0,0,0
71,15800,19,2019,0,35595.0,27,2880.0,0,0,0,0,1,0,0,0,1,0,0,0
72,29400,123,2017,0,23765.0,35,1320.0,0,0,0,0,1,1,0,0,0,0,0,0
73,4430,32,2017,0,31792.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
74,19400,3,2019,0,33135.0,34,1320.0,0,0,0,0,1,0,0,1,0,0,0,0
75,12520,32,2017,0,30636.0,3,1200.0,0,0,0,0,1,0,0,0,0,1,0,0
76,15900,19,2019,0,34502.0,27,2880.0,0,0,0,0,1,0,0,0,0,1,0,0
77,26400,32,2017,0,25434.0,6,1320.0,0,0,0,0,1,0,0,0,0,0,0,1
78,4140,32,2017,0,36732.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
79,18300,3,2019,0,41792.0,34,1320.0,0,0,0,0,1,0,0,1,0,0,0,0
80,12520,32,2017,0,31992.0,3,1200.0,0,0,0,0,1,1,0,0,0,0,0,0
81,17900,19,2019,0,32501.0,27,2880.0,0,0,0,0,1,0,0,0,0,1,0,0
82,18300,11,2017,0,28395.0,6,1320.0,1,0,0,0,0,1,0,0,0,0,0,0
83,4640,32,2017,0,36139.0,36,2880.0,0,0,1,0,0,0,1,0,0,0,0,0
84,24000,32,2016,0,84413.0,32,4320.0,0,0,1,0,0,1,0,0,0,0,0,0
85,13200,32,2017,0,33457.0,3,1200.0,0,0,0,0,1,0,0,0,0,0,0,1
86,18000,19,2019,0,29245.0,27,2880.0,0,0,0,0,1,0,0,1,0,0,0,0
87,14900,45,2017,0,12783.0,6,1320.0,1,0,0,0,0,0,0,0,0,0,1,0
88,4140,32,2017,0,17617.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
89,11500,32,2016,0,36855.0,32,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
90,9110,32,2017,0,110316.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
91,7350,32,2015,0,88227.0,32,2880.0,0,0,0,0,1,1,0,0,0,0,0,0
92,24500,32,2017,0,17626.0,16,2880.0,0,0,0,0,1,0,0,1,0,0,0,0
93,9300,32,2017,0,120353.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
94,39800,14,2015,0,3641.0,32,2880.0,0,1,0,0,0,0,0,0,0,0,0,1
95,53500,70,2017,0,29355.0,16,2880.0,0,0,0,0,1,0,1,0,0,0,0,0
96,15110,32,2017,0,39333.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
97,34000,32,2015,0,42930.0,32,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
98,26502,18,2017,0,24993.0,16,1200.0,1,0,0,0,0,1,0,0,0,0,0,0
99,5990,75,2017,0,44929.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
100,13600,55,2018,0,16971.0,34,1260.0,0,0,1,0,0,1,0,0,0,0,0,0
101,23605,32,2017,0,35598.0,16,2880.0,0,0,0,0,1,0,0,1,0,0,0,0
102,10780,75,2017,0,40455.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
103,13800,55,2018,0,23164.0,34,1260.0,0,0,1,0,0,0,0,0,0,0,0,1
104,25201,32,2017,0,19011.0,16,2880.0,0,0,0,0,1,0,0,0,1,0,0,0
105,7070,75,2017,0,45191.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
106,8700,55,2018,0,21405.0,34,1260.0,0,0,1,0,0,0,0,0,0,0,0,1
107,18003,71,2017,0,19117.0,16,1020.0,1,0,0,0,0,0,0,0,1,0,0,0
108,8530,32,2017,0,42104.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
109,23100,36,2018,0,49496.0,34,1260.0,0,1,0,0,0,0,0,0,0,0,0,1
110,24500,32,2017,0,32418.0,16,2880.0,0,0,0,0,1,0,0,0,0,0,0,1
111,7000,75,2017,0,29882.0,36,2880.0,0,0,1,0,0,0,0,0,0,0,0,1
112,17000,46,2018,0,34819.0,34,1260.0,0,0,1,0,0,0,0,0,1,0,0,0
113,34002,0,2017,0,31923.0,16,2880.0,1,0,0,0,0,0,0,0,0,0,0,1
114,6980,75,2017,0,29168.0,36,2880.0,0,0,1,0,0,0,0,1,0,0,0,0
115,25000,15,2018,0,28307.0,16,1260.0,0,1,0,0,0,0,0,0,0,0,1,0
116,20802,18,2017,0,33791.0,16,2880.0,1,0,0,0,0,0,0,0,1,0,0,0
117,9200,32,2017,0,21770.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
118,26500,81,2017,0,18375.0,16,1260.0,0,0,0,0,1,0,0,1,0,0,0,0
119,24802,18,2017,0,14158.0,16,2880.0,1,0,0,0,0,0,0,1,0,0,0,0
120,7070,75,2017,0,30318.0,36,2880.0,0,0,1,0,0,1,0,0,0,0,0,0
121,28500,32,2017,0,48086.0,34,1260.0,0,0,1,0,0,0,0,0,0,1,0,0
122,47500,32,2017,0,26562.0,16,2880.0,0,0,0,0,1,1,0,0,0,0,0,0
123,23500,49,2017,0,57611.0,34,1260.0,0,0,1,0,0,1,0,0,0,0,0,0
